[Thu May 19 09:18:37.238538 2016] [:error] [pid 7060] [client 127.0.0.1:43024] PHP Parse error:  syntax error, unexpected end of file in /var/www/minishop.loc/wp-content/themes/my_theme/index.php on line 69, referer: http://minishop.loc/archive-products/
[Thu May 19 09:18:37.258354 2016] [:error] [pid 7060] [client 127.0.0.1:43024] PHP Stack trace:, referer: http://minishop.loc/archive-products/
[Thu May 19 09:18:37.258396 2016] [:error] [pid 7060] [client 127.0.0.1:43024] PHP   1. {main}() /var/www/minishop.loc/index.php:0, referer: http://minishop.loc/archive-products/
[Thu May 19 09:18:37.258407 2016] [:error] [pid 7060] [client 127.0.0.1:43024] PHP   2. require() /var/www/minishop.loc/index.php:17, referer: http://minishop.loc/archive-products/
[Thu May 19 09:18:37.258414 2016] [:error] [pid 7060] [client 127.0.0.1:43024] PHP   3. require_once() /var/www/minishop.loc/wp-blog-header.php:19, referer: http://minishop.loc/archive-products/
[Thu May 19 09:18:41.723970 2016] [:error] [pid 7009] [client 127.0.0.1:43029] PHP Parse error:  syntax error, unexpected end of file in /var/www/minishop.loc/wp-content/themes/my_theme/index.php on line 69, referer: http://minishop.loc/archive-products/
[Thu May 19 09:18:41.724011 2016] [:error] [pid 7009] [client 127.0.0.1:43029] PHP Stack trace:, referer: http://minishop.loc/archive-products/
[Thu May 19 09:18:41.724024 2016] [:error] [pid 7009] [client 127.0.0.1:43029] PHP   1. {main}() /var/www/minishop.loc/index.php:0, referer: http://minishop.loc/archive-products/
[Thu May 19 09:18:41.724031 2016] [:error] [pid 7009] [client 127.0.0.1:43029] PHP   2. require() /var/www/minishop.loc/index.php:17, referer: http://minishop.loc/archive-products/
[Thu May 19 09:18:41.724037 2016] [:error] [pid 7009] [client 127.0.0.1:43029] PHP   3. require_once() /var/www/minishop.loc/wp-blog-header.php:19, referer: http://minishop.loc/archive-products/
[Thu May 19 09:18:46.098732 2016] [:error] [pid 6570] [client 127.0.0.1:43033] PHP Parse error:  syntax error, unexpected end of file in /var/www/minishop.loc/wp-content/themes/my_theme/index.php on line 69, referer: http://minishop.loc/archive-products/
[Thu May 19 09:18:46.098765 2016] [:error] [pid 6570] [client 127.0.0.1:43033] PHP Stack trace:, referer: http://minishop.loc/archive-products/
[Thu May 19 09:18:46.098780 2016] [:error] [pid 6570] [client 127.0.0.1:43033] PHP   1. {main}() /var/www/minishop.loc/index.php:0, referer: http://minishop.loc/archive-products/
[Thu May 19 09:18:46.098787 2016] [:error] [pid 6570] [client 127.0.0.1:43033] PHP   2. require() /var/www/minishop.loc/index.php:17, referer: http://minishop.loc/archive-products/
[Thu May 19 09:18:46.098792 2016] [:error] [pid 6570] [client 127.0.0.1:43033] PHP   3. require_once() /var/www/minishop.loc/wp-blog-header.php:19, referer: http://minishop.loc/archive-products/
[Thu May 19 09:27:45.799458 2016] [:error] [pid 7749] [client 127.0.0.1:43137] PHP Fatal error:  Call to undefined function single_post_content() in /var/www/minishop.loc/wp-content/themes/my_theme/index.php on line 46, referer: http://minishop.loc/archive-products/
[Thu May 19 09:27:45.799525 2016] [:error] [pid 7749] [client 127.0.0.1:43137] PHP Stack trace:, referer: http://minishop.loc/archive-products/
[Thu May 19 09:27:45.799543 2016] [:error] [pid 7749] [client 127.0.0.1:43137] PHP   1. {main}() /var/www/minishop.loc/index.php:0, referer: http://minishop.loc/archive-products/
[Thu May 19 09:27:45.799552 2016] [:error] [pid 7749] [client 127.0.0.1:43137] PHP   2. require() /var/www/minishop.loc/index.php:17, referer: http://minishop.loc/archive-products/
[Thu May 19 09:27:45.799560 2016] [:error] [pid 7749] [client 127.0.0.1:43137] PHP   3. require_once() /var/www/minishop.loc/wp-blog-header.php:19, referer: http://minishop.loc/archive-products/
